Ressources;XP
Étoffe de Rat Bougri;1,003
Étoffe de Samouraï fantôme;35,852
Étoffe de Sphincter Cell;142,327
Étoffe de Vigie Pirate;4,786
Étoffe du Fauchalak;12,878
Étoffe du Mulou;7,497
Étoffe du Roissingue;16,215
Étoffe du Sanglier;0,609
Étoffe du Wabbit;1,761
Étoffe du Wa Wabbit;13,416
Étoffe Magique de Moon;32,731
Étoffe Mystérieuse;100
Étoffe sanglante;16,875
Étoffe Zoth;13,235
Étoile des Neiges;27
Étoile d'Or d'El Piko;89,876
Extrémité du Grattoir;28,794
Farine de contrebande;36,75
Farine Humée;6,201
Fausse dent de Grozilla;36,765
Faux menton du Bourbassingue;9,289
Faux Visage de Choudini;5,513
Fémur de Koalak Farouche;11,667
Fémur de Sphincter Cell;23,958
Fémur du Chafer Archer;1,627
Fémur du Chafer Ronin;1,288
Fer;0,03
Fermeture éclair;400
Ferrite;0,45
Feuille de Blop Multicolore Royal;8,187
Feuille de Blop Royal;1,952
Feuille de Branche Soignante;2,246
Feuille de Cawotman;2,403
Feuille de Fourbasse;1,094
Feuille de Rose Obscure;0,574
Feuille de Salace;0,059
Feuille de Tikoko;0,313
Feuille de Tournesol Sauvage;0,446
Feu Intérieur;0,042
Fibre criminelle;3,354
Fibre de Chanvre;56,207
Ficelle en Lin;0,18
Fil de Néfileuse;1,039
Fil de Soie;0,446
Filtre à frousse;640
Fiole à élément;2,32
Fiole de fumée de Nelween;18,646
Flamme Spectrale;0,492
Flaque Juvénile;0,11
Flaque Mature;2,986
Flaque Novice;0,785
Flaque Vénérable;11,971
Fléau de Robot Fléau;2,392
Flèche de Crâmbo;12,2
Flèche du Chafer Archer;0,272
Fleur de Blop Coco Royal;11,648
Fleur de Blop Griotte Royal;11,648
Fleur de Blopignon;0,322
Fleur de Blop Indigo Royal;11,648
Fleur de Blop Multicolore Royal;48,884
Fleur de Blop Reinette Royal;11,648
Fleur de Cactiflore;3
Fleur de Cendrepierre;280,748
Fleur de Gloutoblop;0,426
Fleur de Gloutovore;1,094
Fleur de Kaliptus;2,765
Fleur de Korriandre;8,225
Fleur de Pissenlit Diabolique;0,073
Fleur des protecteurs;101,25
Fleur d'Onabu-Geisha;5,932
Fluide Glacial;0,096
Flûte de Klûtiste;16,875
Flûte de Mastodonte;1,8
Foulard de Koalak Farouche;1,969
Foulard de Milimaître;3
Foulard du Sparo;0,508
Fourrure de Timongouste;0,373
Fragment d'anomalie;5,063
Fragment d'armure;16,875
Fragment de cerveau poli;1,604
Fragment de Chakanoubis;16,875
Fragment d'Ectorche;16,875
Fragment d'Épée Reptilienne;3,354
Fragment de pépite de Sakaï;74,838
Fragment de Pierre Pointue;0,543
Fragment de Pierre Polie;0,549
Fragment de Rubis Fertile;500
Fragment d'Os;1,766
Fragment d'Ougalurette;289,613
Fragment du Gorgouille;4,861
Fraise;0,429
Frimousse d'Alhyène;34,115
Fronde de Boufbos;16,875
Fronde de Boufronde;12,2
Frostiz;0,27
Frostiz soufflé;27
Fumée Juvénile;0,11
Fumée Mature;2,986
Fumée Novice;0,785
Fumée Vénérable;11,971
Furoncle de la Mama Bwork;9,052
Galet cramoisi;25
Galet Lunaire;125
Galet rutilant;250
Galet Saisonnier;25
Galet Solaire;625
Gant de Sherpoa;0,111
Gants de protection;257,475
Gâtrool;2,251
Gelée à la Fraise;0,305
Gelée à la Menthe;0,284
Gelée Bleuet;0,267
Gelée Bleuet Royale;2,228
Gelée Citron;0,283
Gelée Citron Royale;2,228
Gelée Fraise Royale;2,228
Gelée Menthe Royale;2,228
Germes corrompus;104,008
Gilet du Valet;16,875
Ginseng;0,2
Ginsengoku;20
Gland;0,111
Gland de Fouduglen;15
Gland de l'Écumouth;16,477
Glande d'Arak-haï;6,169
Glande du Pounicheur;9,265
Glandes de Truchtine;14,779
Globule de Nyée;33,385
Glotte;20
Glouto Rhum;1,591
Goujon;0,03
Goujon Kiye;3
Goulobule rouge;101,25
Graine de l'Abrakleur sombre;3,706
Graine de la Discorde;0,207
Graine de Pandouille;0,17
Graine de Pavot;0,075
Graine de Scorbute;0,565
Graine de Sésame;0,266
Graine de Tournesol;0,072
Graines de Citwouille Maudites;0,525
Gratrooll;2,251
Gratrooll Industriel;0,384
Grattoir à dos inachevé;105,662
Gravure de Courant d'Air;160,716
Gravure de Crachin;160,716
Gravure de Secousse;160,716
Gravure de Séisme;511,455
Gravure d'Étincelle;160,716
Gravure de Tsunami;505,79
Gravure d'Incendie;505,79
Gravure d'Ouragan;505,79
Grelot;2,405
Grenade de Moribombe;16,875
Grenat de Momistik;16,875
Greuvette;0,04
Greuvette Horreur;4
Griffe de Blérauve;10,967
Griffe de Buboxor;20,25
Griffe de Dragoeuf Albâtre;3,729
Griffe de Félygiène;5,504
Griffe de Grolours;0,313
Griffe de Kanimate;101,25
Griffe de Kolosso;61
Griffe de Muloubard;1,349
Griffe de Phorrêveur;4,792
Griffe de Robionicle;0,404
Griffe de Strigide;16,875
Griffes de Kwak;0,254
Grizite;42,964
Groin de Dragon Cochon;5,469
Groin de Porkzebuth;20,25
Groin de Sanglier des Plaines;0,249
Gros Boulet;0,301
Guillemets de Mabram;30
Guillemets d'Imiyama;30
Haïku du dragon : Création;1,392
Haïku du dragon : Destruction;1,392
Haïku du dragon : Passion;0,626
Haïku du dragon : Résolution;0,626
Hamatum de Glourséleste;375
Hélice en laiton;640
Herbe Folle;0,428
Houblon;0,1
Houblon Brillant;10
Houpette de Koalak Sanguin;1,843
Houpette de Vilain Petit Tofu;8,019
Huile de Fantimonier;24,876
Huile de Frostiz;1,215
Huile de Koode;5,002
Huile de Mamansot;19,15
Huile de Noix;3,449
Huile de Palme;15,567
Huile de Pichon;2,475
Huile de Pikoleur;101,25
Huile de Riz;2,25
Huile de Sésame;1,199
Huile de Tournesol Sauvage;1,075
Humérus du Sparo;3,069
Implants Rustiques;33,637
Incisive de Glourmand;12,2
Incisive de Kami Givrefoux;6,868
Incisive de Stalak;16,875
Incisive de Sylargh;506,25
Incus de Verglasseur;16,875
Intestin d'Araknosé;0,059
Iris de Boulglours;75
Ivoire;5,091
Jambière de Kasrok;16,875
Jaune d'Œuf de Krokille;1,339
Jeton du Bworker;2,625
Jeton du Chazino des Ecaflipuces;0,63
Jeton du Chazino des Matougarous;1,305
Jeton du Chazino du Grand Jeu;2,025
Jouet de Gamine Zoth;2,487
Journal Intime d'Émeraude;14,85
Joyau de la couronne du roi Nidas;84,375
Jus de Cacterre;17,975
Jus d'Écumouth pressé;33,101
Jus de Ouassingue;7,622
Jus de poisson;2,775
Jus de poisson abominable;66,345
Jus de poisson asphyxiant;157,441
Jus de poisson méphitique;894,712
Jus de poisson pestilentiel;670,925
Kamatrix;24,846
Kamiam;1,75
Kaokurimono;7,737
Kapokaza;7,737
Katana de Kwamouraï;3
Kobalite;11,1
Kobalte;0,1
Koinkoin de bain de Nagate;14,42
Kokopaille;0,304
Kole;6,546
Kolérat Mort;3,354
Kouartz;6,6
Kralamoure;0,14
Kralamoure Unique;14
Kriptonite;9,15
Kristalite;52,171
La cambriole pour les Nuls;1,563
Laine Céleste;0,044
Laine de Boufmouth;1,976
Laine de Boufmouth légendaire;2,174
Laine de Boufton Noir;0,109
Laine de Bouftou;0,075
Laine de Bouftou Royal;3,977
Laine de Dardalaine;1,039
Laine de Glouragan;75
Laine de Maho Givrefoux;6,868
Laine de Ramane Strubien;0,097
Laine de Sylargh;84,375
Laine de Tengu Givrefoux;38,684
Laine de Yokaï Givrefoux;6,868
Laine du Boufcoul;0,565
Laine du Chef de Guerre Bouftou;0,124
Laine du Royalmouth;12,016
Laine du Trooll Furieux;13,096
Lait de Cochon de Lait;1,461
Lait de Tortue;1,866
Lame brisée de Lichangoro;3,722
Lame de Katana;335,437
Lamelle de Champa Bleu;0,202
Lamelle de Champa Marron;0,202
Lamelle de Champa Rouge;0,202
Lamelle de Champa Vert;0,202
Lamelle de Champbis;9,258
Lamelle de Dramanite;8,647
Lamelle de Mérulette;8,647
Lame tranchante;103,404
Lance de Chika Rat;1,477
Lance-Pierre de Scélée Rate;1,477
Langue de Champodonte;9,258
Langue de Craquelope;2,817
Langue de Diabélial;16,875
Langue de Gargrouille;0,974
Langue de Grenufar;1,853
Langue de Hacharné;18,409
Langue de Kashkaille;16,875
Langue de Kraméléhon;12,684
Langue de Krèvladal;16,875
Langue de Mimikado;1,458
Langue de Morsquale;8,167
Langue de Pistilangue;16,875
Langue d'Épouvanteur;0,072
Langue de Tiwabbit Kiafin;1,5
Langue d'Étoile;1,627
Langue de Truchmuche;15,513
Lanière en cuir de Gliglitch;27
Lanières de knout;130,048
Lanterne de Tourthon;17,609
Lanterne usée;7,737
Larme de Givrefoux;65
Légende de Brumaire;900
Levure de Boulanger;0,143
Liane de Soldalia;16,875
Lin;0,12
Linceul;1,627
Linothorax;16,875
Lin Tempête;12
Liquide vampiresque;0,584
Livre du Bwork Mage;1,48
Longue-vue de Gob-Trotteur;0,206
Lotte;0,2
Lunettes de Parashukouï;3
Lunettes de Tiwobot;0,841
Mâchoire de Brutasmodan;16,875
Mâchoire de Rib;1,073
Mâchoire du Chafer Draugr;0,3
Magnésite;3,75
Maillot de corps de Barbroussa;0,534
Main de Boo;0,565
Maïs;0,22
Maïssého;22
Makroute Déchiqueté;1,627
Malléole de Yomi Givrefoux;6,868
Malleus de Karkanik;101,25
Malt;0,17
Malt Husse;17
Manche de Fouet;16,875
Manche de Knout;97,5
Manche du Grattoir;75,995
Mandibule d'Abrakne Irascible;12,781
Mandragore;0,25
Mandragorgonzola;25
Manganèse;0,12
Manubrium de Wolvero;67,418
Manuel du Directeur Grunob;1,094
Maraca de Lévito;3
Marque des grands fonds;640
Masque brisé;7,737
Masque Brisé d'Araknotron;0,926
Masque Cassé d'Araknotron Irascible;2
Masque cauchemardesque de l'Éternel Conflit;84,375
Masque de la Vengeance;14,077
Masque de la Violence;14,077
Masque de la Vivacité;14,077
Masque de protection;116,541
Masque de Shinibaru;3
Masque du Vice;14,077
Masque du Vide;14,077
Mât de Fantômat;4,187
Maxillaire de Brikoglours;16,875
Mèche de bombe de Terristocrate;17,868
Mèche de Pralicienne;16,875
Mèche de Serpyn;12,2
Mèche Rebelle d'Hell Mina;23,958
Méga Pierre du Craqueleur;3,263
Méga Pierre du Craqueleur Légendaire;15,661
Menthe Religieuse;10
Menthe Sauvage;0,1
Métaria bleue;1,903
Métaria jaune;1,903
Métaria Mage bleue;9,958
Métaria Mage jaune;11,091
Métaria Mage rouge;9,958
Métaria Mage verte;9,958
Métaria rouge;1,903
Métaria Triame bleue;8,104
Métaria Triame jaune;8,104
Métaria Triame rouge;8,104
Métaria Triame verte;8,104
Métaria verte;1,903
Millet;0,25
Millet Zime;25
Minerai Étrange;2,418
Miroir de Dopeul;0,214
Miséricorde du Chafer d'Élite;0,272
Mojo de Mergranlou;8,043
Molaire de Blérice;10,967
Molaire de Nessil;101,25
Molaire de Ventrublion;101,25
Morceau de caleçon de Gourlo;3,14
Morceau de clef Coco;1,725
Morceau de clef de Paspartou;16,875
Morceau de clef du Matin Pewlant;4,1
Morceau de clef du Midi Wayonnant;4,1
Morceau de clef du Soiw Woulant;4,1
Morceau de clef Griotte;1,725
Morceau de clef Indigo;1,725
Morceau de clef Reinette;1,725
Morpion de Truchideur;15,142
Morue;0,24
Morue Barbue;24
Mouchoir de la Gamine Zoth;15,266
Moumoule;0,07
Mousse de Caméliache;16,875
Moustache de Boostache;5,694
Moustache de Frimar;101,25
Moustache de Klime;84,375
Moustache de Kolérat;0,565
Moustache de Rilur;16,875
Moustache de Ush;29,659
Moustache du Mufafah;1,5
Moustache du Shogun Tofugawa;29,659
Moustache précieuse;1,458
Moustaches de Cactoblongo;3
Moustaches de Tiwabbit;0,263
Muqueuse de Moumoule;1,627
Mycoses gelées;400
Nacre;8,037
Nacre brute;1,63
Nageoire de Compétition;0,096
Nectar de l'Orient;10,061
Nez de Pipisteuse;16,875
Noeud de l'Abrakleur clair;34,882
Noeud de Marin;6,677
Noeul Mort;0,542
Noisette;0,111
Noix de Cajou;0,161
Noix de Grokoko Traumatisée;0,313
Noix de Kokoko;1,866
Noix de Pécan;0,299
Noyau de Protozorreur;84,375
Obsidienne;0,27
oeil Bionique;0,337
oeil d'Abrakne;1,627
oeil d'Arakmuté;0,059
oeil de Boufmouth de guerre;12,64
oeil de Branche Invocatrice;13,535
oeil de Branche Soignante;13,535
oeil de Champmane;9,258
oeil de Cocholou;1,349
oeil de Crabe Hijacob;5,54
oeil de Craquelope;0,471
oeil de Crocodaille albinos;101,25
oeil de Crowneille;3,354
oeil de Cycloïde;16,875
oeil de Dawaj;16,875
oeil de Dramanite;51,761
oeil de Feutôme;16,875
oeil de Fleuro;69,703
oeil de Gouligane;16,875
oeil de Halbardent;16,875
oeil de Harpille;20,25
oeil de Harpo;101,25
oeil de Harrogant;16,875
oeil de Kanigrou;3,74
oeil de Korriandre;289,613
oeil de Krokille;9,57
oeil de Kwoan;0,155
oeil de Léolhyène;0,841
oeil de Madura;7,737
oeil de Morcac;1,853
oeil de Phozami;4,792
oeil de Pikdoa;0,111
oeil de Ramane Strubien;0,665
Œil de Rat du Gang;3,655
oeil de Raul Mops;0,272
oeil de Saltik;1,039
oeil de Sapeur;11,879
oeil de Shokkoth;16,875
oeil de Tofu Noir;0,176
oeil de Truchtine;2,444
oeil de Verminocule;16,875
oeil de verre;400
oeil de Vigie Pirate;28,879
oeil de Wabbit Céphale;2,403
oeil du Kharnozor;43,46
oeil du Père Ver;38,684
oeil torve de Fricochère;19,079
oeuf Chimérique;0,042
oeuf d'Ali Grothor;500
oeuf de Crapeur;36,392
oeuf de Dragoeuf Ardoise;4,127
oeuf de Dragoeuf Argile;4,127
oeuf de Dragoeuf Calcaire;4,68
oeuf de Dragoeuf Charbon;4,127
oeuf de Gobus;13,931
oeuf de Haute Truche;89,876
oeuf de Tofu;0,176
oeuf de Tofubine;9,03
oeuf du Mansot Royal;113,176
oeuf Pourri;1,064
Omoplate de Blérom;10,967
Ongle de Goulafre;16,875
Ongle de Kanigrou;0,628
Ongle du Bworker;48,382
Or;0,22
Orbe régénérant;150
Orbe régénérant magistral;750
Orbe régénérant majeur;450
Orbe régénérant mineur;15
Orchidée de Génie;12
Orchidée Freyesque;0,12
Oreille d'Apériglours;10,967
Oreille de Blérice;67,418
Oreille de Bouftonmouth;1,812
Oreille de Bouledogre;7,426
Oreille de Chargus;5,932
Oreille de Croleur;10,967
Oreille de Douzdoa;0,111
Oreille de Fistulor;51,761
Oreille de Fleuro;11,75
Oreille de Foufayteur;0,565
Oreille de Gobosteur;10,967
Oreille de Griffotep;16,875
Oreille de Guerrier Mental;0,395
Oreille de Kakoalak;3
Oreille de Kaniblou;5,574
Oreille de Kaniglou;3,346
Oreille de Mécanofoux;101,25
Oreille de Médibwork;1,012
Oreille de Rat Plapla;1,919
Oreille de Rhinoféroce;1,349
Oreille de Soryo Givrefoux;6,868
Oreille du Fu Mansot;20,745
Oreille du Grand Pa Wabbit;2,392
Oreille percée du Fricochère;3,222
Oreilles de Wabbit Fluo;2,403
Oreilles du Tiwabbit;1,563
Orge;0,05
Orge en Sucre;5
Ortie;0,03
Ortie Roïde;3
Os de Chafer;0,055
Os de Crocodaille;1,744
Os de Jiangshi-Nobi;5,932
Os de Mama Koalak;1,297
Os de Nemroz;12,2
Os de Pékeualak;0,969
Os de Sramouraï;3
Os de Trooll;0,915
Os de Wabbit Squelette;0,341
Osier Enchanté;6,13
Osier Sombre;2,938
Os Invisible du Chafer Invisible;0,144
Os rongé de Gobichon;0,206
Osselet de Black Wabbit Squelette;2,212
Os Surprise du Chafer Fantassin;0,253
Ours Déchiqueté;1,627
Ouvrage magique d'Aloevée Rate;1,477
Pagne d'Alashasss;16,875
Pagne de Trantroa;9,284
Paille Vampiresque;1,454
Paire de boules de Haute Truche;15
Palpe de Pikbul;1,853
Pandouille de Trois;17
Papatte de Croc Gland;0,549
Papier Charbon;0,223
Paquet Cadeau du Minotoboule de Nowel;8,189
Parasite Aquatique;101,25
Parchemin de Cactana;3
Pâte à Tra Khben;31,095
Patelle;10
Patte d'Abrakne Irascible;2,121
Patte d'Arakne;0,074
Patte d'Arakne des Égouts;0,665
Patte d'Arakne Magique;0,443
Patte d'Arakne Majeure;0,304
Patte de Black Wabbit;0,319
Patte de Bouledogre;1,236
Patte de Corbac;1,531
Patte de Gruche;2,652
Patte de Kankreblath;1,029
Patte de Korriandre;48,382
Patte de la Gardienne des Égouts;5,839
Patte de Li-Fo;16,875
Patte de Masticroc;7,737
Patte de Nheur'Gueule;16,875
Patte de Pupuce;1,853
Patte de Rat Bougri;5,98
Patte de Scoliopode;9,676
Patte de Soryo Givrefoux;40,278
Patte de Tabacille;16,875
Patte de Termystique;16,875
Patte de Tofu Dodu;1,585
Patte de Tofukaz;0,176
Patte de Twakeuf;0,326
Patte de Wabbit;0,292
Paupière d'Étoile;0,272
Paupière Dorée de Rykaon;16,875
Peau de Bworkette;1,389
Peau de Chevaucheur Koalak;1,901
Peau de Cochon de Farle;1,708
Peau de Crachefoux;3,722
Peau de Crocabulia;8,187
Peau de Don Dorgan;2,333
Peau de Don Duss Ang;2,154
Peau de Dragnarok;1,832
Peau de Dragoeuf Albâtre;0,628
Peau de Draguaindrop;1,832
Peau de Dragueuse;1,832
Peau de Drakoalak;1,262
Peau de Gériatique;1,853
Peau de Gloot;0,043
Peau de Kanihilan;34,115
Peau de Koalak Immature;0,534
Peau de Krambwork;1,012
Peau de Kraméléhon;1,054
Peau de Larve Bleue;0,075
Peau de Larve Champêtre;2,43
Peau de Larve Dorée;1,978
Peau de Larve Émeraude;1,693
Peau de Larve Jaune;0,075
Peau de Larve Orange;0,075
Peau de Larve Rubis;1,831
Peau de Larve Saphir;1,563
Peau de Larve Verte;0,075
Peau de Maître Koalak;2,177
Peau de Mandrine;1,664
Peau de Mansobèse;2,987
Peau de Métaphorreur;4,792
Peau de Minos;9,392
Peau de Minoskito;1,664
Peau de Mob l'Éponge;0,391
Peau de Moon;5,469
Peau de Pataugerme;3,616
Peau de Piralak;0,969
Peau de Ramane d'Égoutant;0,371
Peau de Rat;2,646
Peau de Raul Mops;1,627
Peau de Roukouto;6,13
Peau de Rouquette;3,722
Peau de serpentin;0,395
Peau de Shin Larve;1,563
Peau de Skeunk;71,088
Peau de Tivelo;6,13
Peau de Torréfactueur;16,875
Peau de Trémorse;7,737
Peau de Trithon;111,724
Peau de Vindeux;9,284
Peau d'Ouilleur;12,139
Peau du Bworker;289,613
Peau Égrotante;0,354
Peau pourrie de Dolid;16,875
Pédoncule de Fongeur;51,761
Pédoncule de Mérulette;51,761
Pédoncule de Mérulor;101,25
Peinture Bleue;5,709
Peinture Jaune;5,709
Peinture Noire;5,709
Peinture Orange;5,709
Peinture Rouge;5,709
Peinture Verte;5,709
Peinture Violette;5,709
Pelage aérodynamique;22,635
Pelage chocolaté;3
Pense-bête de Rubise;14,85
Pépite;1
Pépite croquée;17,975
Perce-Neige;0,27
Perche;0,17
Péroné du Marôdeur;12,27
Pétale de Gangredogue;16,875
Pétale de Malter;28,465
Pétale d'encre;205,006
Pétale de Papier;205,741
Pétale de Rose Démoniaque;0,067
Pétale de Rose Obscure;0,095
Pétale de Tournesol Sauvage;0,075
Pétale Diaphane;0,043
Pétale Kouraçao;1,454
Pétale Magique du Tournesol Affamé;0,692
Pétale Malibout;1,454
Pétale Morito;1,454
Pétale Passaoh;1,454
Phéromone de Tofu;0,025
Philtre de Longévité;32,16
Pic d'Anerice;84,375
Pic de Dragodinde;0,48
Pic de Dragodinde Dorée;0,659
Pic de Lance de Gobet;0,206
Pic de Malépik;4,792
Pic de Pikoleur;16,875
Pic de Pikténia;7,737
Pic de Prespic;0,111
Pic de Ravageur;101,25
Pic du Nocturlabe;101,25
Pichon d'encre;10
Picot d'El Piko;15
Pièce du Puzzle de la Griffe;1,454
Pièce du Trésor du Badoul;1,454
Piège désamorcé de Mâchassin;16,875
Pierre Angulaire;101,25
Pierre d'Agathe;4,58
Pierre d'Aigue-Marine;7
Pierre d'Atomystique;6,389
Pierre de Cristal;1,641
Pierre de Crystaloboule;2,662
Pierre de Diamant;0,55
Pierre de Dopeul;4,113
Pierre de Fumrirolle;6,389
Pierre de Granit;0,809
Pierre d'Émeraude;0,834
Pierre de Mofette;6,765
Pierre de Rubis;1,593
Pierre de Saphir;2,128
Pierre de Sélénite;4,6
Pierre de Serpiplume;12,003
Pierre de souillure bleue impure;1,401
Pierre de souillure jaune impure;1,448
Pierre de souillure verte impure;1,452
Pierre de Topaze;2,004
Pierre du Courtilieur;13,642
Pierre du Craqueleur;0,41
Pierre du Craqueleur Légendaire;2,621
Pierre du Koulosse;32,731
Pierre Médicinale;0,711
Pierre Précieuse Zoth;2,652
Pile Steamer;16,875
Pilule du Gang;23,811
Pince de Crabe;0,272
Pince de Crabe Hijacob;0,926
Pince de Crabe Yoloniste;16,875
Pince de Crâme;16,875
Pince de Crustorail;1,398
Pince de Krabouilleur;101,25
Pince de Lucrane;10,613
Pince du Fancrôme;4,187
Pique du Soldat;16,875
Piques à cheveux de Shihan;18,611
Pistil de Floristile;1,853
Pistil du Tynril;18,611
Pixel de Brikablak;2,884
Pixel de Farfacette;2,884
Pixel de Fraktale;12,016
Pixel de Gromorso;2,884
Pixel d'Éklatleth;2,884
Pixel de Segmantid;2,403
Place de Concert de Diamantine;14,85
Planche à Dessin;24,6
Planche Agglomérée;0,45
Planche à Griller;2,25
Planche à Pain;19,5
Planche à Pâtisserie;12,225
Planche à Repasser;6
Planche Contreplaquée;1,2
Planche de Gravure;14,625
Planche de Salut;27,6
Planche de Surf;3,75
Planche de Toilette;8,775
Planche hatoufer;219
Plaque d'acier;20,084
Plastron de Tambouraï;5,932
Plombs de plongée;640
Plumeau de Tofuzmo;1,467
Plume Chimérique;0,042
Plume de Batofu;1,029
Plume de Brabuzar;16,875
Plume de Buveur;1,47
Plume de Corbac Apprivoisé;1,47
Plume de Crowneille;0,565
Plume de Cycloïde;101,25
Plume de Dodox;16,875
Plume de Domoizelle;1,094
Plume de Dostrogo;1,094
Plume de fesse du Kido;1,529
Plume de Gélikan;0,951
Plume de Gobvious;1,262
Plume de Granduk;16,875
Plume de Misère;75
Plume de Piou Bleu;0,059
Plume de Piou Jaune;0,059
Plume de Piou Rose;0,06
Plume de Piou Rouge;0,062
Plume de Piou Vert;0,059
Plume de Piou Violet;0,059
Plume de Thomondor;0,313
Plume de Tofu;0,176
Plume de Tofubine;1,508
Plume de Tofu Maléfique;0,758
Plume de Tofu Royal;17,326
Plume de Truchideur;2,483
Plume d'Ilyzaelle;84,375
Plume du Cavalier;16,875
Plume du Kwak de Flamme;0,254
Plume du Kwak de Glace;0,254
Plume du Kwak de Terre;0,254
Plume du Kwak de Vent;0,254
Plume du Kwakwa;1,563
Plume du Mansot Royal;18,611
Plume du Rasboul Majeur;7,721
Plume du Serpiplume;1,984
Plume du Timansot;2,801
Plume Graisseuse du Tofu Ventripotent;0,239
Plume Pointue de Renarbo;9,011
Plume Vibrante du Tofu Royal;48,884
Poche de charbon de Grasmera;43,46
Poche de magma de Grasmera;496,324
Poignée de Katana;142,936
Poignée du Gorgouille;29,134
Poil d'Abrakne;0,272
Poil d'aisselle de Missiz Frizz;84,375
Poil de barbe du Shamansot;3,319
Poil de Ben le Ripate;23,958
Poil de Blérauve;67,418
Poil de Bworkette;8,315
Poil de Capsaaloocke;1,34
Poil de Chachachovage;0,976
Poil de Chacrebleu;5,932
Poil de Dragon Cochon;43,75
Poil de Gamino;1,764
Poil de Gliglitch;4,545
Poil de Meno;84,375
Poil de Rat Bontarien;8,962
Poil de Rat Brâkmarien;11,049
Poil de Rat d'Égoutant;0,446
Poil de Renarbo;1,497
Poil de Skeunk;12,016
Poil de Troolléolé;2,251
Poil de Vétauran;0,578
Poil de Wobot Kiafin;0,841
Poil du Wa Wabbit;2,228
Poils d'Arakne Malade;0,059
Poils de barbe de Barbélier;16,875
Poils de Barbe de Dragodinde;3,354
Poils de barbe de Marteau-Aigri;75
Poils de Barbe du Bwork Mage;0,248
Poils de Barbe du Grand Pa Wabbit;0,395
Poils de Barbe du Warko Violet;12,259
Poils de Black Tiwabbit;1,627
Poils de Boulglours;12,2
Poils de Boumbardier;3,722
Poils de Darit;0,665
Poils de Founamboul;3,722
Poils de Goultime;16,875
Poils de Guerrier Koalak;1,778
Poils de Kanigroula;29,659
Poils de Koalak Coco;0,969
Poils de Koalak Forestier;0,969
Poils de Koalak Griotte;0,969
Poils de Koalak Indigo;0,969
Poils de Koalak Reinette;0,969
Poils de Mulounoké;1,349
Poils de Pétartifoux;3,722
Poils de Smilomouth;3
Poils de souris;0,25
Poils de Wo Wabbit;2,38
Poils de Zatoïshwan;550
Poils du Comte Razof;61
Poils du Milimulou;0,111
Poils du Minotoror;8,187
Poils magiques de Tanuki;17,975
Poing de Coquelicogne;16,875
Poing rocheux d'Ishigro Pake;3
Poing-virgule de Shinlam;30,267
Poing-virgule d'Imushin;33,817
Pointe de Lance de Tournoyé;16,875
Pointe osseuse de Grasmera;84,375
Pointes de Knout;132,417
Poison cinglant;8,362
Poisskaille;0,27
Poisskaille Givré;27
Poisson-Chaton;0,07
Poisson Igloo;9
Poisson Pané;0,09
Poisson-Tigre;7
Pollen de Bulbiflore;1,853
Pom de Pin;1,922
Pompon Brunâtre;2,236
Porte-bonheur de Malalfa;4,792
Poterie cassée de Lolojiki;3
Potion d'altération;32,1
Potion de Courant d'Air;161,836
Potion de Crachin;161,836
Potion de Glandage;10,35
Potion des Ancêtres;7,05
Potion de Secousse;161,836
Potion de Séisme;507,775
Potion de Sésanabolisant;85,846
Potion de Souvenir;1,65
Potion d'Étincelle;161,836
Potion de Tsunami;502,11
Potion de Vieillesse;5,85
Potion d'Incendie;502,11
Potion d'Ouragan;502,11
Potion minérale;36,394
Poudre de Perlinpainpain;0,049
Poudre explosive;3,732
Poudre glaciale;61
Poudre Juvénile;0,11
Poudre Mature;3,665
Poudre Novice;0,785
Poudre Vénérable;11,971
Poupée de Caïguille;16,875
Poupée Vaudou Ark;0,446
Poupée Vaudou Eth;0,446
Poupée Vaudou Jav;0,446
Poupée Vaudou Sarbak;0,446
Poupée Vaudou Tam;0,446
Pousse de Malzerb;4,792
Première clef du Donjon de Sphincter;5,75
Première partie de la clef du labyrinthe du Dragon Cochon;2,235
Protection de Funespadon;16,875
Pustule de Rat Sio;1,34
Pyrute;14,475
Queue de Bethel Akarna;84,375
Queue de Black Wabbit;2,033
Queue de Blérom;67,418
Queue de Boostache Prépubère;0,974
Queue de Brikoglours;101,25
Queue de Chapardam;0,044
Queue de Chasquatch;5,932
Queue de Chevrotine;12,2
Queue d'Écumouth;2,719
Queue de dragodinde sauvage;0,565
Queue de Fantomalamère;4,187
Queue de Fennex;0,862
Queue de Glourséleste;61
Queue de Kanigroula;179,258
Queue de Mantaze;16,875
Queue de Meliglours;12,2
Queue de Mère Veilleuse;4,792
Queue de Rat d'Hyoactif;0,395
Queue de Rat du Gang;4,045
Queue de Sanglier des Plaines;1,5
Queue de Scordion Bleu;0,862
Queue de Sinistrofu;101,25
Queue de Wolvero;10,967
Queue de Yomi Givrefoux;40,278
Queue du Boufmouth légendaire;13,256
Queue du Fu Mansot;3,447
Queue du Mulou;1,121
Queue du Royalmouth;71,088
Queue emplumée du Rasboul Majeur;55,851
Queue Magique de Founoroshi;18,611
Quisnoa;10
Racine cristalline;400
Racine d'Abraknyde;0,291
Racine d'Abraknyde Ancestral;4,343
Racine d'Abraknyde Sombre;0,844
Racine d'Abraknyde Vénérable;0,862
Racine d'Abrazif;51,761
Racine de Tronkoblop;0,302
Racine du Chêne Mou;11,552
Raie Bleue;0,19
