Ressources;XP;ID
Oeil de Ramane Strubien;1;2453
Poil de Rat d'Égoutant;0,167;8481
Queue de Rat d'Hyoactif;0,2;2496
Cuir de Scélérat Strubien;0,125;304
Crinière de Scélérat Strubien;1;2574
Bandelettes;0,5;2286
Bombe de Graboule;0,5;1614
Bourgeon de Pirolienne;0,5;1611
Couteau de Roukouto;0,5;2316
Roue de Tivelo;0,5;1610
Duvet de Nelween;1;12076
Oreilles de Croc Gland;0,25;
Queue de Croc Gland;0,25;
Papatte de Croc Gland;0,25;2502
Poils de Croc Gland;0,333;
Croquette;1;
Plume de Crowneille;0,333;1889
Moustache de Kolérat;0,333;2301
Poil d'Ouginak;0,2;
Babines de Macien;0,333;2321
Chaîne de l'Ouginak;0,2;
Pince de Scorbute;0,2;
Queue de scorbute;0,25;
Carapace de Scorbute;0,5;
Patte de Scorbute;0,5;
Oeil de Cocholou;0,5;2578
Canine de Mergranlou;0,5;439
Queue du Mulou;0,25;438
Griffe de Muloubard;0,5;440
Poils de Mulounoké;0,5;291
Os de Fantôme Léopardo;1,3;
Os de Fantôme Maho Firefoux;1,3;
Os de Fantôme Pandikaze;1,3;
Os de Fantôme Pandore;1,3;
Os de Fantôme Pandule;1,3;
Os de Fantôme Soryo Firefoux;1,3;
Os de Fantôme Tanukouï San;1,3;
Os de Fantôme Yokai Firefoux;1,3;
Poils de Léopardo;0,333;
Peau de Léopardo;0,5;
Poils de Maho Firefoux;0,5;
Peau de Maho Firefoux;1,59;
Peau de Soryo Firefoux;0,5;
Poils de Soryo Firefoux;0,5;
Poils de Yokai Firefoux;0,5;
Peau de Yokai Firefoux;0,5;
Peau de Kitsou Nae;0,143;
Poils de Kitsou Nae;1;
Peau de Kitsou Nakwa;0,125;
Poils de Kitsou Nakwa;1;
Peau de Kitsou Nere;0,143;
Poils de Kitsou Nere;1;
Peau de Kitsou Nufeu;0,25;
Poils de Daïgoro;1;
Patte d'Araknawa;0,015;
Oeuf d'Araknawa;0,25;
Brassard de Braconnier;0,2;
Peau de Cooleuvre;0,05;
Dent magique de Cooleuvre;1;
Poils de Pandore;0,333;
Peau de Pandore;0,5;
Poils de Pandikaze;0,031;
Peau de Pandikaze;0,032;
Étoffe de Pandikaze;0,5;
Griffe de Pandikaze Vertige;1;
Poils de Pandule;0,05;
Peau de Pandule;0,143;
Ambre de Bambouto;0,042;
Feuille de Bambouto;0,042;
Bois de Bambouto;0,042;
Racine Magique de Bambouto;0,333;
Feuille de Bambouto Sacré;0,333;
Ambre de Bambouto Sacré;0,333;
Bois de Bambouto Sacré;0,125;
Racine de Bulbambou;0,03;
Pousses de Bulbambou;0,03;
Écorce magique de Bulbambou;0,25;
Racine de Bulbiflore;0,034;
Écorce magique de Bulbiflore;0,333;
Racine de Bulbig;0,071;
Écorce magique de Bulbig;0,5;
Écorce magique de Bulbuisson;0,5;
Jeton du Bworker;1;6885
Peau de Bworkette;0,5;8388
Noix de Cajou;0,015;391
Épaulette de Bwork;0,045;
Casque cassé de Bwork;0,333;3000
Ficelle en Lin;0,005;420
Slip de Bwork Archer;0,036;3208
Scalp de Bwork Archer;0,333;2268
Poils de Barbe du Bwork Mage;0,02;409
Livre du Bwork Mage;0,333;410
Capsule Explosive;0,029;2330
Ivoire;0,045;479
Peau de Cochon de Farle;1,55;8390
Silex;0,143;448
Pierre de Crystaloboule;0,25;1679
Pierre du Craqueleur;0,143;431
Dent en Or du Craqueleur;1;
Fragment de Pierre Pointue;0,143;2305
Coeur de Craqueleur;1;2306
Oeil de Craquelope;0,167;2495
Langue de Craquelope;1;2504
Fragment de Pierre Polie;0,077;2304
Méga Pierre du Craqueleur;0,5;2251
Charbon;0,1;447
Ongle de Chevaucheur de Karne;0,011;
Dent de Karne;0,021;
Noix de Pécan;0,048;392
Oreille de Douzdoa;0,067;6844
Gant de Martoa;0,067;
Oeil de Pikdoa;0,067;6841
Casque de Sherpoa;0,067;
Gelée de Dégelée;0,091;8310
Cuir de Déminoboule;0,5;8323
Poil de Gamino;0,5;8311
Corne de Gamino;1;13504
Peau de Kraméléhon;0,5;8314
Peau de Mandrine;0,333;8315
Peau de Minoskito;0,333;8312
Bandelette du Mominotor;1;8326
Carapace de Scaratos;1;8308
Plume du Serpiplume;0,333;8309
Carniflore;0,5;11695
Boules de Kanniboul;1;14282
Poupée Vaudou Ark;0,25;2628
Poupée Vaudou Eth;0,25;2625
Poupée Vaudou Jav;0,25;2626
Poupée Vaudou Sarbak;0,25;2627
Poupée Vaudou Tam;0,25;17065
Plume de Domoizelle;0,5;2602
Feuille de Fourbasse;0,5;2254
Bourgeon de Fourbasse;0,5;6736
Fleur de Gloutovore;0,5;2253
Glouto Rhum;0,5;2632
Trukikol Mort;0,5;2607
Noix de Grokoko Traumatisée;0,167;1678
Kokopaille;0,083;2618
Noix de Kokoko;1;997
Tronc de Kokoko;0,167;1002
Tranche de Nodkoko;0,167;2617
Feuille de Tikoko;0,167;2624
Carapace Bleue;0,167;1013
Lait de Tortue;1;2619
Carapace Jaune;0,167;1011
Carapace Rouge;0,167;1012
Carapace Verte;0,167;1010
Caleçon Mignon du Pirate;0,5;998
Boulet de Canondorf;0,5;2622
Rhum de Qualité;0,5;2620
Bandeau de Nakunbra;0,5;13496
Canif Rouillé;0,5;17075
Croupion du Bitouf aérien;1;8788
Bave du Kaskargo;1;8832
Cloaque du Poolay;1;8787
Morceau de caleçon de Gourlo;1;8758
Maillot de corps de Barbroussa;0,25;8757
Chicot du Flib;0,25;8740
Foulard du Sparo;0,25;8760
Coccyx du Corailleur;0,143;8730
Corail usé;1;8729
Nacre brute;0,5;9940
Pince de Crustorail;0,125;8744
Corail Kouraçao;1;8732
Corail Malibout;1;8733
Corail Morito;1;8735
Corail Passaoh;1;8734
Bulbe Kouraçao;0,143;8749
Pétale Kouraçao;1;8745
Bulbe Malibout;0,143;8750
Bulbe Morito;0,143;8752
Bulbe Passaoh;0,143;8751
Pétale Malibout;1;8746
Pétale Morito;1;8748
Pétale Passaoh;1;8747
Aile du Bitouf des Plaines;0,5;8767
Fragment de cerveau poli;0,5;8762
Plume de fesse du Kido;0,5;8766
Duvet du Kilibriss;1;8756
Moustache du Mufafah;0,5;8763
Dent de Bourbassingue;0,333;13498
Bave de Ouassingue;0,333;13490
Étoffe de Ouassingue;0,045;8801
Cuir de Ouassingue;0,1;887
Estomac de Ouassingue;1;2468
Vieille Ventouse de Kralamoure;0,5;13732
Enfumoir Zoth;0,5;13338
Étoffe Zoth;1;8800
Jouet de Gamine Zoth;0,5;13499
Pierre Précieuse Zoth;0,5;14279
Calumet Zoth;0,5;13503
Boulier Zoth;0,5;13733
Sacrum magistral;0,5;8738
Poil d'Abrakne;0,083;16148
Ambre;0,033;463
Écorce d'Abrakne Sombre;0,5;16154
Écorce d'Abraknyde;0,032;
Bourgeon d'Abraknyde;0,032;
Racine d'Abraknyde;0,032;435
Ambre d'Abraknyde;0,25;464
Racine d'Abraknyde Sombre;0,5;1612
Bourgeon d'Abraknyde Sombre Irascible;1;13528
Racine d'Abraknyde Vénérable;0,5;16150
Masque Brisé d'Araknotron;0,5;16152
Masque Cassé d'Araknotron Irascible;1;16157
Bois de Tronknyde;0,059;2250
Sourcils de Tronknyde;0,5;2564
